cid,bdate,gen,dwh_create_date
AW00011000,1971-10-06,Male,2024-12-30 14:06:37.1133333
AW00011001,1976-05-10,Male,2024-12-30 14:06:37.1133333
AW00011002,1971-02-09,Male,2024-12-30 14:06:37.1133333
AW00011003,1973-08-14,Female,2024-12-30 14:06:37.1133333
AW00011004,1979-08-05,Female,2024-12-30 14:06:37.1133333
AW00011005,1976-08-01,Male,2024-12-30 14:06:37.1133333
AW00011006,1976-12-02,Female,2024-12-30 14:06:37.1133333
AW00011007,1969-11-06,Male,2024-12-30 14:06:37.1133333
AW00011008,1975-07-04,Female,2024-12-30 14:06:37.1133333
AW00011009,1969-09-29,Male,2024-12-30 14:06:37.1133333
AW00011010,1969-08-05,Female,2024-12-30 14:06:37.1133333
AW00011011,1969-05-03,Male,2024-12-30 14:06:37.1133333
AW00011012,1979-01-14,Female,2024-12-30 14:06:37.1133333
AW00011013,1979-08-03,Male,2024-12-30 14:06:37.1133333
AW00011014,1973-11-06,Female,2024-12-30 14:06:37.1133333
AW00011015,1984-08-26,Female,2024-12-30 14:06:37.1133333
AW00011016,1984-10-25,Male,2024-12-30 14:06:37.1133333
AW00011017,1949-12-24,Female,2024-12-30 14:06:37.1133333
AW00011018,1955-10-06,Male,2024-12-30 14:06:37.1133333
AW00011019,1983-09-04,Male,2024-12-30 14:06:37.1133333
AW00011020,1984-03-19,Male,2024-12-30 14:06:37.1133333
AW00011021,1984-03-02,Female,2024-12-30 14:06:37.1133333
AW00011022,1984-04-10,Female,2024-12-30 14:06:37.1133333
AW00011023,1984-04-09,Female,2024-12-30 14:06:37.1133333
AW00011024,1984-03-16,Female,2024-12-30 14:06:37.1133333
AW00011025,1951-06-22,Female,2024-12-30 14:06:37.1133333
AW00011026,1951-10-01,Female,2024-12-30 14:06:37.1133333
AW00011027,1952-06-05,Female,2024-12-30 14:06:37.1133333
AW00011028,1951-10-09,Female,2024-12-30 14:06:37.1133333
AW00011029,1952-06-19,Female,2024-12-30 14:06:37.1133333
AW00011030,1958-02-18,Female,2024-12-30 14:06:37.1133333
AW00011031,1953-02-18,Female,2024-12-30 14:06:37.1133333
AW00011032,1952-12-08,Female,2024-12-30 14:06:37.1133333
AW00011033,1958-09-19,Female,2024-12-30 14:06:37.1133333
AW00011034,1952-12-16,Female,2024-12-30 14:06:37.1133333
AW00011035,1953-08-23,Female,2024-12-30 14:06:37.1133333
AW00011036,1984-06-16,Female,2024-12-30 14:06:37.1133333
AW00011037,1983-05-27,Female,2024-12-30 14:06:37.1133333
AW00011038,1953-09-20,Female,2024-12-30 14:06:37.1133333
AW00011039,1954-06-16,n/a,2024-12-30 14:06:37.1133333
AW00011040,1983-01-29,n/a,2024-12-30 14:06:37.1133333
AW00011041,1983-04-15,n/a,2024-12-30 14:06:37.1133333
AW00011042,1982-12-11,Female,2024-12-30 14:06:37.1133333
AW00011043,1981-08-23,Female,2024-12-30 14:06:37.1133333
AW00011044,1954-11-21,Female,2024-12-30 14:06:37.1133333
AW00011045,1955-11-16,Female,2024-12-30 14:06:37.1133333
AW00011046,1955-09-19,Female,2024-12-30 14:06:37.1133333
AW00011047,1955-08-27,Female,2024-12-30 14:06:37.1133333
AW00011048,1956-05-21,Female,2024-12-30 14:06:37.1133333
AW00011049,1986-01-15,Female,2024-12-30 14:06:37.1133333
AW00011050,1957-03-06,Female,2024-12-30 14:06:37.1133333
AW00011051,1957-01-31,Female,2024-12-30 14:06:37.1133333
AW00011052,1957-02-03,Female,2024-12-30 14:06:37.1133333
AW00011053,1986-02-17,Female,2024-12-30 14:06:37.1133333
AW00011054,1957-09-07,Female,2024-12-30 14:06:37.1133333
AW00011055,1957-09-02,Male,2024-12-30 14:06:37.1133333
AW00011056,1958-10-01,Female,2024-12-30 14:06:37.1133333
AW00011057,1970-04-07,Female,2024-12-30 14:06:37.1133333
AW00011058,1965-04-23,Female,2024-12-30 14:06:37.1133333
AW00011059,1959-09-29,Female,2024-12-30 14:06:37.1133333
AW00011060,1959-09-14,Female,2024-12-30 14:06:37.1133333
AW00011061,1976-02-20,Male,2024-12-30 14:06:37.1133333
AW00011062,1981-03-01,Male,2024-12-30 14:06:37.1133333
AW00011063,1980-10-04,Female,2024-12-30 14:06:37.1133333
AW00011064,1981-06-05,Male,2024-12-30 14:06:37.1133333
AW00011065,1979-04-08,Female,2024-12-30 14:06:37.1133333
AW00011066,1979-05-27,Female,2024-12-30 14:06:37.1133333
AW00011067,1982-03-25,Male,2024-12-30 14:06:37.1133333
AW00011068,1966-09-19,Female,2024-12-30 14:06:37.1133333
AW00011069,1966-09-17,Female,2024-12-30 14:06:37.1133333
AW00011070,1960-10-02,Male,2024-12-30 14:06:37.1133333
AW00011071,1960-12-23,Female,2024-12-30 14:06:37.1133333
AW00011072,1960-08-05,Female,2024-12-30 14:06:37.1133333
AW00011073,1962-02-11,Female,2024-12-30 14:06:37.1133333
AW00011074,1962-02-25,Male,2024-12-30 14:06:37.1133333
AW00011075,1963-05-16,Female,2024-12-30 14:06:37.1133333
AW00011076,1963-01-10,Male,2024-12-30 14:06:37.1133333
AW00011077,1963-03-19,Female,2024-12-30 14:06:37.1133333
AW00011078,1985-01-06,Female,2024-12-30 14:06:37.1133333
AW00011079,1970-03-07,Male,2024-12-30 14:06:37.1133333
AW00011080,1965-01-13,Male,2024-12-30 14:06:37.1133333
AW00011081,1972-01-21,Female,2024-12-30 14:06:37.1133333
AW00011082,1972-02-01,Female,2024-12-30 14:06:37.1133333
